iter	Passed	Remaining
0	2	2504
1	4	2308
2	6	2304
3	9	2343
4	12	2392
5	14	2407
6	17	2429
7	19	2457
8	22	2470
9	25	2494
10	28	2543
11	31	2570
12	34	2623
13	37	2657
14	40	2668
15	43	2669
16	46	2680
17	49	2700
18	52	2717
19	55	2729
20	59	2752
21	62	2768
22	65	2779
23	68	2791
24	72	2811
25	75	2819
26	78	2830
27	81	2828
28	84	2814
29	86	2808
30	89	2800
31	92	2805
32	95	2800
33	99	2818
34	102	2816
35	104	2803
36	107	2792
37	109	2782
38	112	2773
39	115	2771
40	118	2761
41	120	2756
42	123	2750
43	126	2745
44	129	2744
45	132	2743
46	135	2746
47	138	2749
48	141	2750
49	144	2752
50	147	2750
51	150	2747
52	153	2742
53	156	2736
54	159	2733
55	161	2715
56	163	2711
57	166	2707
58	169	2701
59	172	2705
60	175	2699
61	178	2693
62	180	2687
63	183	2682
64	186	2677
65	188	2671
66	191	2666
67	194	2661
68	196	2656
69	199	2652
70	202	2646
71	204	2641
72	207	2637
73	210	2635
74	213	2630
75	215	2625
76	218	2618
77	221	2613
78	223	2607
79	226	2600
80	228	2594
81	231	2589
82	234	2590
83	237	2586
84	239	2582
85	242	2578
86	245	2574
87	248	2570
88	251	2569
89	253	2567
90	256	2563
91	259	2559
92	262	2555
93	264	2552
94	268	2555
95	271	2555
96	274	2555
97	277	2552
98	280	2550
99	283	2549
100	286	2552
101	289	2551
102	292	2550
103	295	2549
104	299	2548
105	301	2545
106	304	2545
107	308	2545
108	312	2550
109	315	2551
110	318	2552
111	322	2555
112	325	2556
113	329	2560
114	332	2561
115	335	2559
116	338	2555
117	341	2551
118	344	2548
119	347	2545
120	350	2543
121	352	2539
122	355	2536
123	358	2532
124	360	2526
125	363	2520
126	365	2515
127	368	2510
128	371	2506
129	373	2501
130	376	2497
131	379	2492
132	381	2487
133	384	2484
134	387	2479
135	389	2475
136	392	2471
137	394	2466
138	397	2461
139	400	2457
140	402	2454
141	405	2449
142	407	2444
143	410	2440
144	413	2436
145	415	2431
